LoincNumber,LongCommonName
37565-9,RF Unspecified body region Views W barium contrast via fistula
37566-7,RF Unspecified body region Views W contrast via catheter
37568-3,RF Unspecified body region Views W contrast via fistula
37576-6,RF Unspecified body region Views W gastrografin via fistula
41795-6,RF Upper gastrointestinal tract and Small bowel Single view W air contrast PO
30809-8,RF Upper gastrointestinal tract and Small bowel Single view W contrast PO
86427-2,RF Upper gastrointestinal tract and Small bowel Views W air contrast PO and W barium contrast PO
43574-3,RF Upper gastrointestinal tract and Small bowel Views W barium contrast PO
86443-9,RF Ureter Views W contrast intra ureter
25016-7,RF Urethra Views W contrast intra urethra
42014-1,RF Urinary bladder and Urethra Views W contrast
38100-4,RF Urinary bladder and Urethra Views W contrast antegrade
25017-5,RF Urinary bladder and Urethra Views W contrast intra bladder
43559-4,RF Urinary bladder and Urethra Views W contrast intra bladder during voiding
25020-9,RF Urinary bladder and Urethra Views W contrast retrograde via urethra
38092-3,RF Urinary bladder Views W chain and contrast intra bladder
86401-7,RF Urinary bladder Views W contrast intra bladder
37569-1,RF Urinary bladder Views W contrast via suprapubic tube
25022-5,RF Uterus and Fallopian tubes Views W contrast IU
75853-2,RF Vagina Views W contrast VG
39151-6,RF Vas deferens Views W contrast intra vas deferens
30630-8,RF videography Cerebral cisterns Views W contrast
43538-8,RF videography Cervical spine Views
24752-8,RF videography Heart Views
24681-9,RF videography Hypopharynx and Esophagus Views
86395-1,RF videography Hypopharynx and Esophagus Views for swallowing function W speech and W barium contrast PO
24682-7,RF videography Hypopharynx and Esophagus Views W liquid and paste contrast PO during swallowing
43536-2,RF videography Lumbar spine Views
24855-9,RF videography Oropharynx Views
37570-9,RF Wrist - bilateral Arthrogram
37571-7,RF Wrist - left Arthrogram
37641-8,RF Wrist - right Arthrogram
25034-0,RF Wrist Arthrogram
37598-0,RFA Abdominal and pelvic lymphatic vessels - bilateral Views W contrast intra lymphatic
37596-4,RFA Abdominal and pelvic lymphatic vessels - left Views W contrast intra lymphatic
38811-6,RFA Abdominal and pelvic lymphatic vessels - right Views W contrast intra lymphatic
37597-2,RFA Abdominal and pelvic lymphatic vessels Views W contrast intra lymphatic
43479-5,RFA Abdominal Aorta Runoff W contrast IA
30837-9,RFA Abdominal Aorta Views W contrast IA
25030-8,RFA Abdominal arteries Views W contrast IA
30840-3,RFA Abdominal lymphatic vessels - bilateral Views W contrast intra lymphatic
30839-5,RFA Abdominal lymphatic vessels Views W contrast intra lymphatic
69066-9,RFA Abdominal vessels Views W contrast IV
30831-2,RFA Adrenal artery - bilateral Views W contrast IA
37387-8,RFA Adrenal artery - left Views W contrast IA
37939-6,RFA Adrenal artery - right Views W contrast IA
30832-0,RFA Adrenal artery Views W contrast IA
30844-5,RFA Adrenal vein - bilateral Views W contrast IV
37602-0,RFA Adrenal vein - left Views W contrast IV
37940-4,RFA Adrenal vein - right Views W contrast IV
30843-7,RFA Adrenal vein Views W contrast IV
86461-1,RFA Adrenal vessel Views
38861-1,RFA Ankle arteries - left Views W contrast IA
37941-2,RFA Ankle arteries - right Views W contrast IA
30838-7,RFA Aorta and Femoral artery - bilateral Runoff W contrast IA
37364-7,RFA Aorta and Femoral artery - left Runoff W contrast IA
38799-3,RFA Aorta and Femoral artery - right Runoff W contrast IA
37380-3,RFA Aortic arch and Brachial artery Views W contrast IA
37587-3,RFA Aortic arch and Carotid artery - bilateral and Vertebral artery - bilateral Views W contrast IA
37591-5,RFA Aortic arch and External carotid artery - bilateral Views W contrast IA
37592-3,RFA Aortic arch and External carotid artery - left Views W contrast IA
37593-1,RFA Aortic arch and External carotid artery - right Views W contrast IA
37383-7,RFA Aortic arch and Subclavian artery - left Views W contrast IA
38800-9,RFA Aortic arch and Subclavian artery - right Views W contrast IA
37382-9,RFA Aortic arch and Subclavian artery Views W contrast IA
37379-5,RFA Aortic arch and Upper Extremity artery Views W contrast IA
37385-2,RFA Aortic arch and Vertebral artery - left Views W contrast IA
37386-0,RFA Aortic arch and Vertebral artery - right Views W contrast IA
69054-5,RFA Aortic arch Views W contrast IA
24551-4,RFA AV fistula Views W contrast IA
58746-9,RFA AV fistula Views W contrast IV
39363-7,RFA AV fistula Views W contrast retrograde
24569-6,RFA AV shunt Views W contrast IV
37411-6,RFA Azygos vein Views W contrast IV
37388-6,RFA Brachial artery - bilateral Views W contrast IA
30828-8,RFA Brachial artery Views W contrast IA
69077-6,RFA Brachiocephalic artery Views W contrast IA
37389-4,RFA Bronchial artery Views W contrast IA
26079-4,RFA Carotid arteries - bilateral Views W contrast IA
26080-2,RFA Carotid arteries - left Views W contrast IA
86434-8,RFA Carotid arteries - unilateral Views W contrast IA
26081-0,RFA Carotid arteries -right Views W contrast IA
37392-8,RFA Carotid arteries and Vertebral artery - bilateral Views W contrast IA
37393-6,RFA Carotid arteries and Vertebral artery - left Views W contrast IA
37943-8,RFA Carotid arteries and Vertebral artery - right Views W contrast IA
37391-0,RFA Carotid arteries and Vertebral artery Views W contrast IA
24617-3,RFA Carotid arteries Views W contrast IA
39097-1,RFA Carotid artery - bilateral and Cerebral artery - bilateral Views W contrast IA
38862-9,RFA Carotid artery and Cerebral artery - left Views W contrast IA
37944-6,RFA Carotid artery and Cerebral artery - right Views W contrast IA
38865-2,RFA Carotid artery and Cerebral artery internal - left Views W contrast IA
37953-7,RFA Carotid artery and Cerebral artery internal - right Views W contrast IA
39095-5,RFA Carotid artery and Cerebral artery Views W contrast IA
37594-9,RFA Carotid artery and Vertebral artery Views W contrast IA
37381-1,RFA Carotid artery Views W contrast IA
38863-7,RFA Carotid artery.cervical - left Views W contrast IA
37945-3,RFA Carotid artery.cervical - right Views W contrast IA
39094-8,RFA Carotid artery.cervical Views W contrast IA
39098-9,RFA Carotid artery.cervical.bilateral Views W contrast IA
30820-5,RFA Carotid artery.external - bilateral Views W contrast IA
37390-2,RFA Carotid artery.external - left Views W contrast IA
37948-7,RFA Carotid artery.external - right Views W contrast IA
30821-3,RFA Carotid artery.external Views W contrast IA
38864-5,RFA Carotid artery.internal - left Views W contrast IA
37952-9,RFA Carotid artery.internal - right Views W contrast IA
37403-3,RFA Celiac artery and Gastric artery - left and Superior mesenteric artery Views W contrast IA
37394-4,RFA Celiac artery and Superior mesenteric artery and Inferior mesenteric artery Views W contrast IA
24622-3,RFA Celiac artery Views W contrast IA
86431-4,RFA Cerebral arteries - bilateral and Cervical arteries - bilateral Views W contrast IA
86432-2,RFA Cerebral arteries - unilateral and Cervical arteries - unilateral Views W contrast IA
86429-8,RFA Cerebral arteries - unilateral Views W contrast IA
86417-3,RFA Cerebral arteries Bilateral Views W contrast IA
37173-2,RFA Cerebral artery Views W contrast IA
37195-5,RFA Cerebral vein Views W contrast IV
37588-1,RFA Common carotid artery - bilateral Views W contrast IA
37589-9,RFA Common carotid artery - left Views W contrast IA
37590-7,RFA Common carotid artery - right Views W contrast IA
37595-6,RFA Coronary arteries Views for graft W contrast IA
37174-0,RFA Coronary arteries Views W contrast IA
30819-7,RFA Epidural veins Views W contrast IV
30849-4,RFA Extremity arteries - bilateral Views W contrast IA
37395-1,RFA Extremity arteries - left Views W contrast IA
37949-5,RFA Extremity arteries - right Views W contrast IA
86428-0,RFA Extremity arteries - unilateral Views W contrast IA
30848-6,RFA Extremity arteries Views W contrast IA
30851-0,RFA Extremity lymphatic vessels - bilateral Views W contrast intra lymphatic
37599-8,RFA Extremity lymphatic vessels - left Views W contrast intra lymphatic
38812-4,RFA Extremity lymphatic vessels - right Views W contrast intra lymphatic
30850-2,RFA Extremity lymphatic vessels Views W contrast intra lymphatic
37412-4,RFA Extremity veins - bilateral Views W contrast IV
37413-2,RFA Extremity veins - left Views W contrast IV
37950-3,RFA Extremity veins - right Views W contrast IV
86396-9,RFA Extremity veins - unilateral Views W contrast IV
39055-9,RFA Extremity veins Views W contrast IV
42157-8,RFA Extremity vessels Views W contrast IV
26178-4,RFA Femoral artery - bilateral Runoff W contrast IA
26179-2,RFA Femoral artery - left Runoff W contrast IA
26180-0,RFA Femoral artery - right Runoff W contrast IA
37176-5,RFA Femoral artery and Popliteal artery Views W contrast IA
24699-1,RFA Femoral artery Runoff W contrast IA
49511-9,RFA Femoral artery Runoff WO and W contrast IA
37175-7,RFA Femoral artery Views W contrast IA
37416-5,RFA Femoral vein Views W contrast IV
37398-5,RFA Gastric artery - left Views W contrast IA
38801-7,RFA Gastric artery right Views W contrast IA
37397-7,RFA Gastric artery Views W contrast IA
37399-3,RFA Gastroduodenal artery Views W contrast IA
30649-8,RFA Guidance for Additional angioplasty of Peripheral artery-- W contrast IA
30641-5,RFA Guidance for Additional angioplasty of Vein-- W contrast IV
36760-7,RFA Guidance for angioplasty of AV shunt-- W contrast
24580-3,RFA Guidance for angioplasty of Brachiocephalic artery-- W contrast IA
24614-0,RFA Guidance for angioplasty of Carotid artery extracranial-- W contrast IA
24615-7,RFA Guidance for angioplasty of Carotid artery.intracranial-- W contrast IA
35881-2,RFA Guidance for angioplasty of Extremity artery-- W contrast IA
36762-3,RFA Guidance for angioplasty of Extremity vessel-- W contrast
36763-1,RFA Guidance for angioplasty of Femoral artery and Popliteal artery-- W contrast IA
24698-3,RFA Guidance for angioplasty of Femoral artery-- W contrast IA
26370-7,RFA Guidance for angioplasty of Iliac artery - bilateral-- W contrast IA
26371-5,RFA Guidance for angioplasty of Iliac artery - left-- W contrast IA
26372-3,RFA Guidance for angioplasty of Iliac artery - right-- W contrast IA
24766-8,RFA Guidance for angioplasty of Iliac artery-- W contrast IA
35882-0,RFA Guidance for angioplasty of Inferior vena cava-- W contrast IV
37426-4,RFA Guidance for angioplasty of Lower extremity vein-- W contrast IV
24832-8,RFA Guidance for angioplasty of Mesenteric artery-- W contrast IA
25081-1,RFA Guidance for angioplasty of Renal vessel-- W contrast IA
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA
43794-7,RFA Guidance for angioplasty of Tibioperoneal arteries - bilateral-- W contrast IA
43795-4,RFA Guidance for angioplasty of Tibioperoneal arteries - left-- W contrast IA
43792-1,RFA Guidance for angioplasty of Tibioperoneal arteries - right-- W contrast IA
43793-9,RFA Guidance for angioplasty of Tibioperoneal arteries-- W contrast IA
69067-7,RFA Guidance for angioplasty of Unspecified body region-- W contrast
30640-7,RFA Guidance for angioplasty of Vein-- W contrast IV
30836-1,RFA Guidance for angioplasty of Visceral artery-- W contrast IA
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV
36766-4,RFA Guidance for atherectomy of Coronary arteries-- W contrast IA
36764-9,RFA Guidance for atherectomy of Femoral vessel and Popliteal artery-- W contrast
69135-2,RFA Guidance for atherectomy of Iliac artery-- W contrast
69253-3,RFA Guidance for atherectomy of Renal vessels-- W contrast
35883-8,RFA Guidance for atherectomy of Thoracic and abdominal aorta-- W contrast IA
26298-0,RFA Guidance for atherectomy of Vein - bilateral-- W contrast IV
26299-8,RFA Guidance for atherectomy of Vein - left-- W contrast IV
26300-4,RFA Guidance for atherectomy of Vein - right-- W contrast IV
24755-1,RFA Guidance for atherectomy of Vein-- W contrast IV
36765-6,RFA Guidance for atherectomy of Vessel-- W contrast
26331-9,RFA Guidance for change of CV catheter in Vein - bilateral-- W contrast IV
26332-7,RFA Guidance for change of CV catheter in Vein - left-- W contrast IV
26333-5,RFA Guidance for change of CV catheter in Vein - right-- W contrast IV
24624-9,RFA Guidance for change of CV catheter in Vein-- W contrast IV
24684-3,RFA Guidance for embolectomy of Extracranial vessels-- W contrast IA
24887-2,RFA Guidance for embolectomy of Pulmonary arteries-- W contrast IA
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV
24554-8,RFA Guidance for embolization of Artery-- W contrast IA
44219-4,RFA Guidance for fine needle aspiration of Lymph node
42334-3,RFA Guidance for injection of Internal thoracic artery - left
24882-3,RFA Guidance for percutaneous transluminal angioplasty of Popliteal artery-- W contrast IA
69252-5,RFA Guidance for percutaneous transluminal angioplasty of Pulmonary arteries-- W contrast IA
69248-3,RFA Guidance for percutaneous transluminal angioplasty of Renal artery-- W contrast IA
69301-0,RFA Guidance for percutaneous transluminal angioplasty of Upper extremity vein-- W contrast IV
42018-2,RFA Guidance for percutaneous transluminal angioplasty of Vein-- W contrast IA
25028-2,RFA Guidance for placement of catheter for infusion of thrombolytic in Vessel-- W contrast intravascular
25029-0,RFA Guidance for placement of catheter for vasoconstrictor infusion in Vessels
25077-9,RFA Guidance for placement of catheter in Hepatic artery-- W contrast IA
41801-2,RFA Guidance for placement of catheter in Portal vein-- W contrast IV
26310-3,RFA Guidance for placement of CV catheter in Vein - bilateral-- W contrast IV
26311-1,RFA Guidance for placement of CV catheter in Vein - left-- W contrast IV
26312-9,RFA Guidance for placement of CV catheter in Vein - right-- W contrast IV
24625-6,RFA Guidance for placement of CV catheter in Vein-- W contrast IV
25024-1,RFA Guidance for placement of peripherally-inserted central venous catheter in Vein
26304-6,RFA Guidance for placement of peripherally-inserted central venous catheter in Vein - bilateral
26305-3,RFA Guidance for placement of peripherally-inserted central venous catheter in Vein - left
26306-1,RFA Guidance for placement of peripherally-inserted central venous catheter in Vein - right
62491-6,RFA Guidance for placement of prosthesis in Iliac artery - left-- W contrast IA
62492-4,RFA Guidance for placement of prosthesis in Iliac artery - right-- W contrast IA
